
System Startup at:2025-10-23 15:15:52.084948

Area of Car:1, 11 m^2,  Measured at: 2025-10-23 15:15:58.748122
Size of Car:1, 16 m^3,  Measured at: 2025-10-23 15:15:58.748122
Area of Car:3, 11 m^2,  Measured at: 2025-10-23 15:16:00.336071
Size of Car:3, 0 m^3,  Measured at: 2025-10-23 15:16:00.336071
Speed of Car 3, 65.0 km/h,  Measured at: 2025-10-23 15:16:00.732622
Speed of Car 3, 104 m/h,  Measured at: 2025-10-23 15:16:00.732641
Area of Car:2, 11 m^2,  Measured at: 2025-10-23 15:16:01.421167
Size of Car:2, 8 m^3,  Measured at: 2025-10-23 15:16:01.421167
Area of Car:5, 12 m^2,  Measured at: 2025-10-23 15:16:01.684659
Size of Car:5, 17 m^3,  Measured at: 2025-10-23 15:16:01.684659
Speed of Car 2, 44.0 km/h,  Measured at: 2025-10-23 15:16:01.948578
Speed of Car 2, 70 m/h,  Measured at: 2025-10-23 15:16:01.948597
Speed of Car 5, 92.0 km/h,  Measured at: 2025-10-23 15:16:02.016401
Speed of Car 5, 148 m/h,  Measured at: 2025-10-23 15:16:02.016417
Area of Car:7, 16 m^2,  Measured at: 2025-10-23 15:16:05.084075
Size of Car:7, 24 m^3,  Measured at: 2025-10-23 15:16:05.084075
Speed of Car 7, 90.0 km/h,  Measured at: 2025-10-23 15:16:05.340224
Speed of Car 7, 144 m/h,  Measured at: 2025-10-23 15:16:05.340241
Area of Car:9, 38 m^2,  Measured at: 2025-10-23 15:16:05.804598
Size of Car:9, 9 m^3,  Measured at: 2025-10-23 15:16:05.804598
Speed of Car 9, 79.0 km/h,  Measured at: 2025-10-23 15:16:05.868244
Speed of Car 9, 127 m/h,  Measured at: 2025-10-23 15:16:05.868259
Area of Car:10, 10 m^2,  Measured at: 2025-10-23 15:16:07.776458
Size of Car:10, 14 m^3,  Measured at: 2025-10-23 15:16:07.776458
Area of Car:15, 16 m^2,  Measured at: 2025-10-23 15:16:07.842643
Size of Car:15, 19 m^3,  Measured at: 2025-10-23 15:16:07.842643
Speed of Car 15, 81.0 km/h,  Measured at: 2025-10-23 15:16:08.142676
Speed of Car 15, 130 m/h,  Measured at: 2025-10-23 15:16:08.142693
Speed of Car 10, 45.0 km/h,  Measured at: 2025-10-23 15:16:08.203110
Speed of Car 10, 72 m/h,  Measured at: 2025-10-23 15:16:08.203126

Total Cars: 9
Shutdown at: 2025-10-23 15:16:09.268956

